scenario,mode,seed,steps,topology,energy_family,size,coupling_count,initial_curvature_min,initial_curvature_max,initial_curvature_ratio,noise_magnitude,noise_cost_samples,accepted_steps,rejected_steps,acceptance_rate,delta_f90_steps,energy_initial,energy_final,energy_drop,noise_curvature_cost,noise_curvature_cost_draws,wall_time_sec
quadratic_chain,isotropic,20,80,chain,quadratic,12,11,0.25,8.0,32.0,0.02,32,30,50,0.375,6,1.4065567028567605,0.08027014329553198,1.3262865595612285,0.0011824046893204297,0.00088671882934219159;0.0012404394826565914;0.0013919926659445832;0.0011407133521994474;0.00096301723388016636;0.0014950430012460932;0.0010386928088448059;0.0012156873897169055;0.001098595055662825;0.0010021715068990512;0.0015059071342871288;0.0010221454658958715;0.00098998617179371553;0.00099572434134848802;0.0013919207644259987;0.00075953727793038434;0.0011501944753727401;0.0014257228411568167;0.0007860030439621067;0.0015315235477469833;0.0022689561040126799;0.0012672797829547404;0.0011730178747956913;0.0009172093581900592;0.00074226239712456646;0.00099264744340513003;0.0014217480753937106;0.0010496545394759536;0.00099562018880356654;0.0013566695793004067;0.0015472070388305214;0.0010729412856538328,0.06250600004568696
quadratic_chain,isotropic,21,80,chain,quadratic,12,11,0.25,8.0,32.0,0.02,32,29,51,0.3625,6,2.9369953032888683,0.1389820248282968,2.7980132784605716,0.0012484458302201677,0.0019054546268956396;0.0014189224407442807;0.0011697690923121904;0.0011591247185436119;0.0010987893544477621;0.0010187760118366685;0.0014578053990440328;0.0012026624018616583;0.00071145209608226932;0.0013173150280761485;0.00086111497415556119;0.0013585066873583369;0.0011692641985094909;0.0021779348707160256;0.00078121863974132174;0.00089218734143238542;0.00099716905265076526;0.0014641524126222936;0.0020359393367207165;0.0016503188716632919;0.0009451804612253395;0.0016603293259240216;0.0011326541618205607;0.00099395477959183295;0.001344287089623986;0.00076823886764205616;0.0008711146222575958;0.00093091960052775371;0.00088822436990966872;0.001621474386955589;0.00099920168977173226;0.0019468096563807782,0.06298089982010424
quadratic_chain,isotropic,22,80,chain,quadratic,12,11,0.25,8.0,32.0,0.02,32,28,52,0.35,7,2.2782913941824883,0.11273674480916313,2.165554649373325,0.0011122971402390293,0.00082690105296277469;0.00076308695105359347;0.00069398472192781834;0.00086285666865927656;0.0012018957382421412;0.0011442185129374944;0.0010119857911378251;0.0013726804789388936;0.0013935600209736046;0.0014394366918682616;0.0010155581354565526;0.0014953101383954101;0.0013887770090073464;0.00094285242137181037;0.0021327316399542824;0.0010691015500601231;0.00080714126883016249;0.001131744270143569;0.0012825508008986945;0.00080371999880482557;0.00099821399498669435;0.001548042387191844;0.00078230737499284818;0.0009686728315368234;0.0010884202943248237;0.0010380355387457432;0.00093217966966203459;0.00094821840076621646;0.0010939946563379987;0.0011710746825102163;0.0011559595636959203;0.001088295231273316,0.06117810006253421
quadratic_chain,isotropic,23,80,chain,quadratic,12,11,0.25,8.0,32.0,0.02,32,37,43,0.4625,6,2.160801342203863,0.07196540798584228,2.0888359342180207,0.0012761985749373146,0.00097948078770397368;0.0010027156547156905;0.0018999532972063958;0.0010519240101425104;0.0011411029112151938;0.0016328548799531301;0.0012334917615048195;0.001544460848749242;0.0011967827721464329;0.0020108279186595774;0.00083186744942767381;0.0012804611794433509;0.0008516657344419075;0.0021658854974090508;0.00072067937344672526;0.0014526986664058637;0.0014517706512262565;0.0018141166811428788;0.0006808237548261044;0.00093399557233396155;0.0016450973960481659;0.0009879205848842402;0.0012437340262627318;0.0010337848804551808;0.0020999899787562384;0.00091571163606678002;0.0007654938509646604;0.001992691448554209;0.0011845867285489578;0.0008485165771004976;0.0014181955715876161;0.00082507231666405212,0.05721879983320832
quadratic_chain,isotropic,24,80,chain,quadratic,12,11,0.25,8.0,32.0,0.02,32,30,50,0.375,6,0.9431609950263644,0.07229088226177503,0.8708701127645894,0.0011602834808157815,0.0015430405421621581;0.0015259166688308373;0.00096985066841728243;0.00091356309575220656;0.0011051423617808101;0.0014930051445936005;0.00088394783396108091;0.0011233934166172182;0.00078137893927523365;0.0011435182399551428;0.0014411375376339969;0.0012410827139713726;0.00099273339353872806;0.00076745414833465639;0.001212192680608631;0.0011189213679984105;0.0011931606329718442;0.0013036735716228953;0.00097632473386651789;0.001724555424648516;0.0011963562761955499;0.00066188964897922879;0.00094161193723612331;0.0015263481028529231;0.0012562979164697857;0.001357630377733452;0.0014391914294237492;0.0007414124492061921;0.00073263865230803298;0.0014678557518948132;0.001210834503603051;0.0011430112236609645,0.050959300016984344
quadratic_chain,isotropic,25,80,chain,quadratic,12,11,0.25,8.0,32.0,0.02,32,32,48,0.4,6,1.2507286723667657,0.10792331724886231,1.1428053551179034,0.0012397211991910545,0.00099647225263668824;0.001204168536440138;0.0010268423874623899;0.0016506096839035557;0.0010893036896896962;0.0016634831453646503;0.001295116727455977;0.0015065884182296724;0.0012078123936544007;0.0013854223310868841;0.0014722083935119772;0.0011115739171407917;0.0015952451284402809;0.001406872922939634;0.00086965752837267637;0.0010630547596455122;0.0015782761005709376;0.00091187865961001968;0.0013895668665236715;0.0012415954368794502;0.0009776656623270456;0.00083837154384020266;0.0012714725248057564;0.0011963871983469219;0.0010140732671106362;0.0014490656674651177;0.001421231393857152;0.0011970534049721029;0.0008460171783989908;0.0010321490956382252;0.0012369659960729795;0.0015248761617196074,0.049302600091323256
quadratic_chain,isotropic,26,80,chain,quadratic,12,11,0.25,8.0,32.0,0.02,32,29,51,0.3625,6,3.3844276816906382,0.062194552732243044,3.3222331289583953,0.0011902408033981492,0.0012619381087827621;0.0010915944173103872;0.0014387250651307125;0.0013518073659092879;0.0012148448345241699;0.0011513988535863104;0.0010208340465834795;0.0007222710226835249;0.0011104911842302943;0.0013697041246847055;0.0013801889970434689;0.001345134971772823;0.0010040745466539604;0.0010251463767821844;0.0015481229823017368;0.0013915871136875551;0.0006857841903555828;0.0012935945685726181;0.0016355616842627628;0.00073383649064470008;0.0010919603791340634;0.0011043773788353729;0.00080466451476717557;0.0011388908964743002;0.00096924441700001174;0.0012544027595561798;0.0016532568687649008;0.0011288452676659847;0.0014355900949914119;0.0011687515096816003;0.0015290409049990693;0.0010320397713676739,0.052316500106826425
quadratic_chain,isotropic,27,80,chain,quadratic,12,11,0.25,8.0,32.0,0.02,32,32,48,0.4,7,1.5303510584478965,0.12419137337760323,1.4061596850702933,0.001253239520826733,0.0013250011999752268;0.0021887148380586065;0.0011343605782388284;0.0013534119968742647;0.0012536206340675602;0.0011540027597470555;0.0012266000149642395;0.001039376597677227;0.0011762244332181907;0.001021175074365032;0.0013081750732628638;0.0011435157730293128;0.000668350529113112;0.0022235835664321997;0.00096072379805749099;0.00091162549159423429;0.0010202727748426983;0.0017177951129232708;0.0016098568840921311;0.0011990879624869594;0.0010238939148966971;0.0012872313932315829;0.00063010523894266161;0.0013163708175288388;0.0008842755533227327;0.0013840772671826292;0.0012689287974237051;0.00080901611770033968;0.0018915365864491992;0.0014829833814785408;0.0010632251510568754;0.0014265453542211526,0.060395299922674894
quadratic_chain,isotropic,28,80,chain,quadratic,12,11,0.25,8.0,32.0,0.02,32,32,48,0.4,7,1.9086700845927906,0.10242861056518641,1.8062414740276043,0.0014316798591160209,0.0012154769590062143;0.0016318833188437494;0.00099100253417680191;0.001591333519437574;0.0013892107464167861;0.0016299969551073796;0.0014661740243315639;0.0018400712861642123;0.0020766392750785467;0.0012363875623810857;0.0013287117946764785;0.0012982604643242191;0.0012528184722843461;0.00089229337222292723;0.0017399606480700777;0.001601708633956762;0.0014042473766236999;0.00082838561317304929;0.002271850719391985;0.00092886235050174885;0.00094377945005350765;0.0010553443198461812;0.00229973652577364;0.0012895326985477428;0.0015571534112351234;0.0018405011252544392;0.00086448724526786899;0.0013096811901174132;0.0013063147863599082;0.0015812726948040124;0.0018660929384834758;0.0012845834798001475,0.059075500117614865
quadratic_chain,isotropic,29,80,chain,quadratic,12,11,0.25,8.0,32.0,0.02,32,33,47,0.4125,7,2.621464783512542,0.05296905744614595,2.568495726066396,0.0012361407566525676,0.0010617039054824256;0.00087736814116703477;0.0011584696137959844;0.001286756617102413;0.0015704220144152244;0.00092040185198409368;0.0008329993495656495;0.0022078674841348473;0.0012801111821204628;0.001554282123393382;0.00084753818171004903;0.0010251125547012091;0.00078092792925824365;0.00087128761371975838;0.0008394321296482099;0.0014717417310586101;0.0014431308184555114;0.0014836873441546944;0.0016063161244263154;0.00078144229243637484;0.0012383610199900052;0.0013489112718182601;0.001233186665116169;0.0008760825428816032;0.0016699897082312586;0.0018109434660047905;0.0013379706685323221;0.001145269884188315;0.0010346257334991867;0.00085554318918009201;0.00091625894515474037;0.0021883621155549234,0.06389119988307357
