scenario,mode,seed,steps,topology,energy_family,size,coupling_count,initial_curvature_min,initial_curvature_max,initial_curvature_ratio,noise_magnitude,noise_cost_samples,accepted_steps,rejected_steps,acceptance_rate,delta_f90_steps,energy_initial,energy_final,energy_drop,noise_curvature_cost,noise_curvature_cost_draws,wall_time_sec
nonlinear_quartic,orthogonal,0,25,chain,convex_quartic,12,11,0.3326165899171342,4.1189862853138575,12.38358641804377,0.02,4,16,9,0.64,4,0.9173714626918745,0.05678999735183752,0.860581465340037,0.0008611796566237948,0.0012116647183931816;0.00067811261305722383;0.00092976634250711832;0.00062517495253765546,0.018390199868008494
nonlinear_quartic,orthogonal,1,25,chain,convex_quartic,12,11,0.20016525133955657,4.484105981258549,22.402020087151868,0.02,4,17,8,0.68,5,1.260421531071462,0.08638896949581935,1.1740325615756426,0.0007309471674310942,0.00092373359806674526;0.00076933221438175536;0.0006828483425164745;0.00054787451475940151,0.02213789988309145
nonlinear_quartic,orthogonal,2,25,chain,convex_quartic,12,11,0.32889517257772327,4.887060274718021,14.859020995703817,0.02,4,19,6,0.76,5,1.5025239358304754,0.05687011592284644,1.445653819907629,0.000796178954983404,0.00046854305383929481;0.00088151264810311847;0.00091805388531299105;0.00091660623267821192,0.018741099862381816
nonlinear_quartic,precision_orthogonal,0,25,chain,convex_quartic,12,11,0.3326165899171342,4.1189862853138575,12.38358641804377,0.02,4,18,7,0.72,4,0.9173714626918745,0.05666946248964193,0.8607020002022326,0.000520580746444237,0.00055213779739306408;0.00031456952325878738;0.00073198986506953548;0.00048362580005556114,0.02196220005862415
nonlinear_quartic,precision_orthogonal,1,25,chain,convex_quartic,12,11,0.20016525133955657,4.484105981258549,22.402020087151868,0.02,4,19,6,0.76,5,1.260421531071462,0.08628546590335398,1.1741360651681079,0.00037301364792296485,0.00026302369946735646;0.00037811525082169332;0.00039149569445683243;0.00045941994694597706,0.020293200155720115
nonlinear_quartic,precision_orthogonal,2,25,chain,convex_quartic,12,11,0.32889517257772327,4.887060274718021,14.859020995703817,0.02,4,18,7,0.72,5,1.5025239358304754,0.05681624169114692,1.4457076941393285,0.0005090806257105046,0.00037833111972926462;0.00057924323269913688;0.0003391080995099198;0.00073964005090369723,0.021385000087320805
active_hinges,isotropic,0,25,chain_with_pair_hinges,piecewise_quadratic,12,17,0.25,8.0,32.0,0.02,4,21,4,0.84,7,4.418401857268783,0.06666059670346117,4.351741260565322,0.001347228739001029,0.0020197727384760203;0.0010160644901684778;0.0014498397663613707;0.00090323796099824787,0.02072340017184615
active_hinges,isotropic,1,25,chain_with_pair_hinges,piecewise_quadratic,12,17,0.25,8.0,32.0,0.02,4,22,3,0.88,6,4.922511189354346,0.10523572143088147,4.817275467923464,0.001046381215943861,0.0014754399444307359;0.00095013057354884902;0.0010537919801407278;0.00070616236565513169,0.022015499882400036
active_hinges,isotropic,2,25,chain_with_pair_hinges,piecewise_quadratic,12,17,0.25,8.0,32.0,0.02,4,24,1,0.96,6,4.760542962328488,0.05765704979853425,4.702885912529954,0.0011992618825515829,0.00062134870017956133;0.0012568469397431481;0.0015882710976757161;0.0013305807926079062,0.02463150001130998
active_hinges,orthogonal,0,25,chain_with_pair_hinges,piecewise_quadratic,12,17,0.25,8.0,32.0,0.02,4,24,1,0.96,7,4.418401857268783,0.0677031950714527,4.35069866219733,0.0013626078298209009,0.001777688779187701;0.0012059379877963157;0.0016235793098755165;0.00084322524242406961,0.022035600151866674
active_hinges,orthogonal,1,25,chain_with_pair_hinges,piecewise_quadratic,12,17,0.25,8.0,32.0,0.02,4,24,1,0.96,6,4.922511189354346,0.10541095820551731,4.817100231148828,0.001017239823850712,0.0012376811069299929;0.00095095255014410434;0.0011750171388614685;0.00070530849946728142,0.021335699828341603
active_hinges,orthogonal,2,25,chain_with_pair_hinges,piecewise_quadratic,12,17,0.25,8.0,32.0,0.02,4,24,1,0.96,6,4.760542962328488,0.058121894018487184,4.7024210683100005,0.0010809147979201578,0.00064195163053630403;0.0013817836347894377;0.00095830178269835236;0.0013416221436565372,0.02177840005606413
active_hinges,precision_orthogonal,0,25,chain_with_pair_hinges,piecewise_quadratic,12,17,0.25,8.0,32.0,0.02,4,25,0,1.0,7,4.418401857268783,0.06681865466626524,4.351583202602518,0.0007500943739379479,0.00094150326304010272;0.00063830936690168968;0.00081309035528912812;0.0006074745105208709,0.02305680001154542
active_hinges,precision_orthogonal,1,25,chain_with_pair_hinges,piecewise_quadratic,12,17,0.25,8.0,32.0,0.02,4,25,0,1.0,6,4.922511189354346,0.10500581540887344,4.8175053739454725,0.0007100145628071554,0.00069158938098893858;0.0006613179161882568;0.00084216209519275616;0.00064498885885867015,0.02245809999294579
active_hinges,precision_orthogonal,2,25,chain_with_pair_hinges,piecewise_quadratic,12,17,0.25,8.0,32.0,0.02,4,25,0,1.0,6,4.760542962328488,0.05769007016924045,4.702852892159248,0.000668591502034559,0.00047959953835347398;0.00090149917239209815;0.00045128513533139523;0.00084198216206126828,0.023143499856814742
